Reference Chord Alignment Report
Generated from reference_chords/english_master_chordbook.txt
===============================================================
- 1 | AAJ KA DIN YEHOVA NE BANAYA HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 105 | BOJH SABKE GUNAH KA UTHAKAR | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 105 | JESUS WHAT A WONDER YOU ARE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 106 | GAR TUM KHAMOSH RAHOGE TO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 106 | O COME LET US ADORE HIM | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 107 | AA PAVITRA ATMA TU AA JA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 107 | SHUT IN WITH GOD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 108 | GLORY JESUS GLORY | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 108 | HA S S HALLELUJAH MILKAR GAYE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 109 | HEAVENLY FATHER | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 109 | MAHIMA DENGE TUJHKO PRABHU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 110 | DHANYAVAD DHANYAVAD DHANYAVAD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 110 | GIVE HEED TO MY WORDS O LORD | Current Key: D | Reference Key: C | Interval: 10 | Status: Transposed
- 111 | PRARTHNA MEIN JO BHI MANGE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 111 | TAKE UP YOUR CROSS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 112 | HAVE YOUR WAY | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 112 | MERE DIL MEIN YESHU AAYA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 113 | AAO MILKAR GAYE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 113 | HALLELUJAH MY FATHER | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 114 | AE DUNIYA KE LOGO, UNCHI AWAZ KARO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 114 | HE'S SETTING ME FREE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 115 | SATH YESHU KA MIL JAYE TO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 115 | THE MOVE IS ON | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 116 | HAI KHUDAKI YE TAMANNA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 116 | WE ARE STANDING ON HOLY GROUND | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 117 | TERA LAHU, TERA LAHU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 117 | THE ANGEL IS HERE RIGHT NOW | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 118 | GOD FORGAVE MY SIN IN JESUS' NAME | Current Key: D | Reference Key: D | Interval: 0 | Status: Already Correct
- 118 | MAHIMA KE KHUDA PRABHU YESHU MASIH | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 119 | LORD GIVE ME ALSO SPRINGS OF WATER | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 119 | MAIN PAPI HUN PRABHUJI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 120 | AMAZING GRACE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 120 | YESHU MASIH HAMARA RAJA HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 121 | GATA RAHE MERA DIL | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 121 | THEY COME FROM THE EAST AND WEST | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 122 | FEAR NOT LITTLE FLOCK | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 122 | SUNO SUNO YESHU AYEGA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 123 | I LOVE HIM I LOVE HIM | Current Key: D | Reference Key: D | Interval: 0 | Status: Already Correct
- 123 | JANAM PANI SE LENA HOGA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 124 | AE SHAHON KE SHAHENSHAH | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 124 | SWEET HOUR OF PRAYER | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 125 | I AM THINKING OF THE RAPTURE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 125 | KALISIYA KARTI INTEZAR | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 126 | KHRIST YESHU DAYALU PRABHU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 126 | TEACH ME LORD TO WAIT DOWN ON MY KNEES | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 127 | OH HOW I LOVE JESUS | Current Key: D | Reference Key: D | Interval: 0 | Status: Already Correct
- 127 | TERE SANMUKH SHISH NAWATE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 128 | AM I A SOLDIER OF THE CROSS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 128 | MASIH NE MERE LIYE KYA KIYA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 129 | CHALE JANA HAI DUR SE DUR TAK | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 129 | MARVELOUS GRACE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 130 | WE'RE MARCHING TO ZION | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 130 | YOGYA KEVAL TU, YOGYA KEVAL TU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 131 | KITNA HASIN VADA HAI YE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 131 | SEARCH ME O GOD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 132 | MY SHEEP KNOW MY VOICE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 132 | YESHU KA LAHU SARE PAPON SE SHUDDH KARTA HUMEIN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 133 | ONWARD CHRISTIAN SOLDIERS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 133 | YESHU AAP RAHENGE SATH | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 134 | MY FAITH LOOKS UP TO THEE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 134 | SENAON KA YEHOVA HAMARE SANG SANG HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 135 | I CARE NOT TODAY WHAT THE MORROW MAY BRING | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 135 | YESHU KA NAAM SUKHADAYI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 136 | I SURRENDER ALL | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 136 | TU PYAR KA SAGAR | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 137 | KUCH MILE YA NA MILE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 137 | LET ME WALK BLESSED LORD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 138 | HO LENGE HUM YESHU KE SANG | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 138 | STANDING ON THE PROMISES | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 139 | GAUNGA MAIN TERE HI GEET | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 139 | LEAD ME ON HOLY SPIRIT | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 140 | AAO HUM YEHOVA KA DHANYAWAD KAREIN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 140 | ROCK OF AGES | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 141 | DAYEIN NA BAYEIN MUDNA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 141 | I WAS SINKING DEEP IN SIN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 142 | TERE HI NAAM SE HAI PRABHU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 142 | THERE SHALL BE SHOWERS OF BLESSING | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 143 | HAVE THINE OWN WAY LORD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 143 | TERE LAHU KE VASILE SE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 144 | ANAND ANAND ANAND HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 144 | I AM THINE O LORD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 145 | I HAVE LOST MY REPUTATION | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 145 | PARMESHWAR KI DAYA KAISI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 146 | JAI JAI YESHU, JAI JAI YESHU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 146 | ON THE WINGS OF A SNOW - WHITE DOVE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 147 | YES I FEEL LIKE TRAVELLING ON | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 147 | YESHU KA PREM HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 148 | JESUS HAS A TABLE SPREAD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 148 | TARIF, TARIF, MIL KE KARO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 149 | IMMANUEL KE LAHU SE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 149 | THERE'S A LAND THAT IS FAIRER THAN DAY | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 150 | BRINGING IN THE SHEAVES | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 150 | JAYVANT MASIHA JAYVANT HUA HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 151 | HAMARE PRABHU YESHU JI KA NAAM | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 151 | TEMPTED AND TRIED WE'RE OFT MADE TO WONDER | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 152 | JYOTI SE YESHU KI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 152 | SHALL WE GATHER AT THE RIVER | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 153 | DOWN AT THE CROSS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 153 | SABNE GUNAHGAR KO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 154 | AANKHEIN HAMARI KHOLIYE PRABHUJI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 154 | JESUS IS MY SAVIOUR | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 155 | KRUS HI KE PASS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 155 | YESTERDAY TODAY FOREVER | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 156 | KIMTI VAYDA BAAP NE DIYA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 156 | PRAISE THE LORD O PRAISE THE LORD | Current Key: G | Reference Key: C | Interval: 5 | Status: Transposed
- 157 | HALLELUJAH HALLELUJAH | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 157 | HUM VISHWAS SE EK DESH DEKHTE HAIN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 158 | GREAT IS THY FAITHFULNESS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 158 | YESHU KAISA DOST PYARA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 159 | I'VE FOUND A FRIEND IN JESUS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 159 | ISHWAR SATH HO JAB TAK NA MILEIN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 160 | THE SANDS HAVE BEEN WASHED | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 160 | YESHU TERA NAAM HAI MAHAN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 161 | HUM VISHWASIYON KE LIYE EK ASHA HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 161 | THERE IS A FOUNTAIN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 162 | MINE EYES HAVE SEEN THE GLORY | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 162 | PAVITRA NAGAR NAYE YARUSHALAM KO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 163 | TUHI DULHAN HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 163 | WHEN THE ROLL IS CALLED UP YONDER | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 164 | AASMAN KE NEECHE, AUR IS DHARTI PAR | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 164 | ALL PRAISE TO HIM | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 165 | HE KHUDA, TERI SHARAN SABSE PYARI HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 165 | THERE'S NEVER BEEN A DAY | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 166 | ANANDIT HO JAO PYARO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 166 | SPEAK MY LORD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 167 | APNA BOJH PRABHU PAR DAAL | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 167 | THE LOVE OF GOD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 168 | KAL AUR AAJ AUR YUGANUYUG TAK | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 168 | WHEN I SURVEY | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 169 | HE YESHU MAHAN, HE YESHU MAHAN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 169 | WE'RE FLOATING DOWN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 170 | HRIDAY BHET CHADHAYE PRABHU KO STUTI PRASHANSA KAREIN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 170 | YOU HAVE HEARD OF LITTLE MOSES | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 171 | AAP MERA RAJA, AAP MERA RAJA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 171 | IT'S DRIPPING WITH BLOOD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 172 | JUNGLI DARAKHTO KE DARMIYAN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 172 | WHEN JESUS COMES | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 173 | HAVE YOU BEEN TO JESUS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 173 | HUM TO KHUDA KE BETE HAIN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 174 | TERE SAATH HUM CHALEIN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 174 | YES JESUS LOVES ME | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 175 | ONCE MY SOUL WAS ASTRAY | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 175 | TERA PYAR HAI MAHAN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 176 | BRING THEM IN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 176 | PRABHU KA DHANYAWAD KARUNGA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 177 | I LOVE YOU LORD | Current Key: D | Reference Key: D | Interval: 0 | Status: Already Correct
- 177 | YESHU KI BABAT SUNAO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 178 | O LORD MY GOD | Current Key: D | Reference Key: C | Interval: 10 | Status: Transposed
- 178 | TU YESHU HAI MERA MAIN JAANTA YEH BAAT | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 179 | THERE IS POWER WONDER-WORKING POWER | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 179 | YESHU NAAM KI DE DUHAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 180 | EK MUNJI AJEEB HAI KHUDAWAND YESHU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 180 | WHAT CAN WASH AWAY MY SIN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 181 | EK MANUSHYA BAITHA, BAITHA BHIKH THA MAANGTA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 181 | I'M REJOICING NIGHT AND DAY | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 182 | ALL HAIL THE POWER OF JESUS' NAME | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 182 | PAVITRA ATMA PREMI PAVITRA ATMA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 183 | ALAS AND DID MY SAVIOUR BLEED | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 183 | TAN, MAN AUR DHAN USE DO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 184 | O HAPPY DAY | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 184 | TERI SHIRIN AAWAZ, MAIN SUNTA HOON KHUDA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 185 | ONE OF THEM ONE OF THEM | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 185 | YESHU NAAM MEIN KUDRAT PAAYI JAATI HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 186 | HO JAI JAYKAAR, JAI JAYKAAR KARE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 186 | WHEN THE SAVIOUR CALLS I WILL ANSWER | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 187 | AASMANON MEIN HAI MERA BHI EK MAKAN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 187 | BEYOND THE SUNSET | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 188 | AAJ CHALEIN KHUDAWAND KE HUZOOR | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 188 | HOLD TO GOD'S UNCHANGING HAND | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 189 | NAYA JEEVAN HOGA KAISA SUHANA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 189 | THE DAY OF REDEMPTION IS NEAR | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 190 | ONE DAY WHEN HEAVEN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 190 | YESHU TERA NAAM HAI KITNA SUNDAR | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 191 | BADHATE JAYENGE AAGE AAGE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 191 | ON A HILL FAR AWAY | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 192 | JEEVIT JEEVIT JEEVIT HAI SADA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 192 | O MY HEART SINGS TODAY | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 193 | BHOOMI KI UTPATTI SE PEHLE PRABHU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 193 | I'M A PILGRIM AND A STRANGER | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 194 | MERE GUNAHON KO DHO DIYA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 194 | SOFTLY AND TENDERLY | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 195 | THOU MY EVERLASTING PORTION | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 195 | YEH SANDESH SUNAO SAB KO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 196 | APNI DULHAN KO LENE YESHU RAJA AAYEGA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 196 | I HAVE HEARD OF A LAND | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 197 | EK TOOTE HUE DIL NE, TUJHKO HI PUKARA HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 197 | I'VE REACHED THE LAND OF CORN AND WINE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 198 | MAN MANDIR MEIN BASNE WALA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 198 | THAT GOD SHOULD LOVE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 199 | DOWN FROM HIS GLORY | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 199 | PYARO, HIMMAT BANDHO, AAGE BADHO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 200 | BLESSED ASSURANCE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 200 | MAIN AATA HOON TERE PAAS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 201 | ONCE OUR BLESSED CHRIST OF BEAUTY | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 201 | YESHU TERA NAAM MERA SHARANSSTHAN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 202 | JESUS BREAKS EVERY FETTER | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 202 | RAKTAM JAYAM, RAKTAM JAYAM | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 203 | KRUS HI HAI TERA NISHAN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 203 | WHEN I SAW THE CLEANSING FOUNTAIN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 204 | LE CHAL MERI AATMA KO TU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 204 | WHAT A FRIEND | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 205 | I AM BOUND FOR THE PROMISED LAND | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 205 | YESHU KE PEECHE MAIN CHALNE LAGA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 206 | ANAND HAI, ANAND HAI, ADBHUT ANAND HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 206 | THE GREAT PHYSICIAN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 207 | MERE JEEVAN KA MAKSAD TU HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 207 | THERE IS COMING A DAY | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 208 | JESUS KEEP ME NEAR THE CROSS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 208 | YESHU MASIH TERE JAISA HAI KOI NAHIN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 209 | MY HOPE IS BUILT ON NOTHING LESS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 209 | STUTI AARADHNA OOPAR JAATI HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 210 | MAN TO PRABHU KA MANDIR HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 210 | PASS ME NOT | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 211 | I'VE WANDERED FAR AWAY FROM GOD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 211 | NAARE LAGAO AUR GAO RE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 212 | AARADHNA HO AARADHNA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 212 | I WILL MEET YOU IN THE MORNING | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 213 | DUNIYA BANANE WALE TERI JAI HO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 213 | GOD BE WITH YOU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 214 | TAKE THE NAME OF JESUS WITH YOU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 214 | YESHU BULA RAHA, YESHU BULA RAHA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 215 | AATMA MANDRATA, AATMA MANDRATA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 215 | ON THAT BRIGHT AND GOLDEN MORNING | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 216 | ALL GLORY TO GOD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 216 | MAHIMA HO TERI, MAHIMA HO TERI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 217 | HO TAIYAR, HO TAIYAR USKE LOGO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
